epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,23226.1,0.0436,0.21701,0.85276,0.70415,0.54371,0.58699,0.58569,0.11538,1.03489,0.36735,0.000253086,0.000253086,0.000253086
80,23520.2,0.04259,0.2094,0.85265,0.73848,0.51143,0.56942,0.56788,0.11496,1.12678,0.36906,0.000242087,0.000242087,0.000242087
81,23814.1,0.04349,0.20343,0.85459,0.69858,0.54468,0.57995,0.57839,0.11458,1.02112,0.36744,0.000231088,0.000231088,0.000231088
82,24108.7,0.0411,0.2054,0.85352,0.73402,0.50788,0.572,0.57156,0.10313,1.08616,0.35388,0.000220089,0.000220089,0.000220089
83,24403.6,0.03943,0.19577,0.85107,0.69612,0.52117,0.56572,0.56429,0.09619,1.08068,0.34866,0.00020909,0.00020909,0.00020909
84,24698.7,0.03887,0.19507,0.8555,0.74418,0.51615,0.57235,0.57161,0.10599,1.0648,0.36113,0.000198091,0.000198091,0.000198091
85,24993.1,0.03951,0.19946,0.85374,0.71829,0.52042,0.57009,0.56901,0.11463,1.11902,0.36815,0.000187092,0.000187092,0.000187092
86,25288,0.04066,0.18828,0.85391,0.70063,0.54007,0.56445,0.56332,0.10859,1.13119,0.363,0.000176094,0.000176094,0.000176094
87,25583.7,0.03869,0.19261,0.85583,0.67925,0.54108,0.56132,0.56039,0.11076,1.14753,0.36869,0.000165095,0.000165095,0.000165095
88,25880.3,0.03838,0.18925,0.85503,0.4503,0.56209,0.56558,0.56438,0.10955,1.14728,0.36646,0.000154096,0.000154096,0.000154096
89,26176.9,0.0379,0.18676,0.85481,0.72359,0.53248,0.57241,0.57118,0.10438,1.10575,0.36782,0.000143097,0.000143097,0.000143097
90,26473,0.03835,0.18675,0.85449,0.72376,0.52334,0.56702,0.56312,0.12228,1.15225,0.41015,0.000132098,0.000132098,0.000132098
91,26770.5,0.04995,0.15491,0.85256,0.63577,0.55169,0.53657,0.53574,0.10494,1.21622,0.35944,0.000121099,0.000121099,0.000121099
92,27064.3,0.03666,0.11337,0.83715,0.69528,0.52814,0.55735,0.55623,0.09851,1.12678,0.35171,0.0001101,0.0001101,0.0001101
93,27358,0.0363,0.10366,0.84557,0.68195,0.56329,0.57086,0.57035,0.09941,1.07501,0.3536,9.91012e-05,9.91012e-05,9.91012e-05
94,27650.6,0.03399,0.10086,0.83788,0.73037,0.51818,0.56613,0.56576,0.09833,1.092,0.3509,8.81023e-05,8.81023e-05,8.81023e-05
95,27944.4,0.03379,0.09322,0.83996,0.67949,0.5465,0.55976,0.55848,0.09446,1.12772,0.34668,7.71034e-05,7.71034e-05,7.71034e-05
96,28237.4,0.03281,0.08721,0.8378,0.70511,0.55453,0.57722,0.57712,0.09637,1.06314,0.34849,6.61045e-05,6.61045e-05,6.61045e-05
97,28530.4,0.03078,0.08498,0.83842,0.69211,0.54416,0.56227,0.56217,0.09758,1.14417,0.34944,5.51056e-05,5.51056e-05,5.51056e-05
98,28823.1,0.03094,0.07982,0.83839,0.70794,0.53245,0.56508,0.56499,0.09626,1.1332,0.34729,4.41067e-05,4.41067e-05,4.41067e-05
99,29115.6,0.02974,0.0746,0.83393,0.67834,0.56298,0.56649,0.56641,0.09636,1.12822,0.34742,3.31078e-05,3.31078e-05,3.31078e-05
